[DateTime], [Close]
01-01-2003,15675.1
01-02-2003,15652.2
01-03-2003,15636.3
01-04-2003,15617.5
01-05-2003,15602
01-06-2003,15589
01-07-2003,15579.6
01-08-2003,15576.1
01-09-2003,15570.593
01-10-2003,15549.469
01-11-2003,15522.411
01-12-2003,15499.611
01-01-2004,15475.971
01-02-2004,15452.564
01-03-2004,15436.797
01-04-2004,15421.877
01-05-2004,15408.016
01-06-2004,15395.315
01-07-2004,15384.125
01-08-2004,15381.36
01-09-2004,15375.346
01-10-2004,15350.018
01-11-2004,15321.546
01-12-2004,15296.872
01-01-2005,15271.5
01-02-2005,15251.6
01-03-2005,15232.218
01-04-2005,15211.183
01-05-2005,15194.151
01-06-2005,15176.729
01-07-2005,15164.146
01-08-2005,15160.794
01-09-2005,15152.534
01-10-2005,15126.354
01-11-2005,15097.29
01-12-2005,15072.052
01-01-2006,15052
01-02-2006,15029.739
01-03-2006,15014.932
01-04-2006,15002
01-05-2006,14987.351
01-06-2006,14973.017
01-07-2006,14962.618
01-08-2006,14962.273
01-09-2006,14957.786
01-10-2006,14934.75
01-11-2006,14909.688
01-12-2006,14889.893
01-01-2007,14868.6
01-02-2007,14853.306
01-03-2007,14840.805
01-04-2007,14825.924
01-05-2007,14814.17
01-06-2007,14802.612
01-07-2007,14796.71
01-08-2007,14797.503
01-09-2007,14793.615
01-10-2007,14767.624
01-11-2007,14742.565
01-12-2007,14719.845
01-01-2008,14703.9
01-02-2008,14684.401
01-03-2008,14671.42
01-04-2008,14659.488
01-05-2008,14647.924
01-06-2008,14636.917
01-07-2008,14629.866
01-08-2008,14633.077
01-09-2008,14631.057
01-10-2008,14607.69
01-11-2008,14586.396
01-12-2008,14570.263
01-01-2009,14556.5
01-02-2009,14540.949
01-03-2009,14531.633
01-04-2009,14520.793
01-05-2009,14511.031
01-06-2009,14502.947
01-07-2009,14498.229
01-08-2009,14505.888
01-09-2009,14506.287
01-10-2009,14482.778
01-11-2009,14463.49
01-12-2009,14451.904
01-01-2010,14438.1
01-02-2010,14426.687
01-03-2010,14418.277
01-04-2010,14411.583
01-05-2010,14404.342
01-06-2010,14397.794
01-07-2010,14396.337
01-08-2010,14405.975
01-09-2010,14403.114
01-10-2010,14378.092
01-11-2010,14359.569
01-12-2010,14347.854
01-01-2011,14336.9
01-02-2011,14327.467
01-03-2011,14320.266
01-04-2011,14312.52
01-05-2011,14304.92
01-06-2011,14297.437
01-07-2011,14296.587
01-08-2011,14307.609
01-09-2011,14308.834
01-10-2011,14286.884
01-11-2011,14271.036
01-12-2011,14259.676
01-01-2012,14252.7
01-02-2012,14245.123
01-03-2012,14238.828
01-04-2012,14233.028
01-05-2012,14226.489
01-06-2012,14225.136
01-07-2012,14234.709
01-08-2012,14236.989
01-09-2012,14235.881
01-10-2012,14212.414
01-11-2012,14197.174
01-12-2012,14186.544
01-01-2013,14174.4
01-02-2013,14165.694
01-03-2013,14159.782
01-04-2013,14153.14
01-05-2013,14144.923
01-06-2013,14138.476
01-07-2013,14138.272
01-08-2013,14149.414
01-09-2013,14148.799
01-10-2013,14125.612
01-11-2013,14109.411
01-12-2013,14098.834
01-01-2014,14089.6
01-02-2014,14080.611
01-03-2014,14074.105
01-04-2014,14066.172
01-05-2014,13301.264
01-06-2014,13296.287